isin,wkn,name,fundProvider,quote,quote52Low,quote52High,ytdReturnCUR,fees,yearVolatilityCUR,fundCurrency,threeMonthReturnCUR,monthReturnCUR,sixMonthReturnCUR,inceptionDate,ticker,yearReturnCUR,domicileCountry,weekReturnCUR,yearReturn1CUR,quoteDate,currencyRisk,UCITSCompliance,securitiesLending
IE00B0M62Y33,A0HGWF,iShares AEX UCITS ETF,iShares,73.98,62.81,76.92,0.0541,0.003,0.1879,EUR,0.0415,-0.0488,0.1006,11/18/2005,IUSJ,0.0336,Ireland,-0.0037,-0.1178,3/21/2023,Currency unhedged,Yes,Yes
IE00BMTX2B82,A2P9XA,iShares AEX UCITS ETF EUR (Acc),iShares,6.68,5.8,7.13,0.0503,0.003,0.1906,EUR,0.0341,-0.0552,0.0915,7/29/2020,AYE7,0.0421,Ireland,-0.0277,-0.1179,3/17/2023,Currency unhedged,Yes,Yes
NL0009272749,A1JN2C,VanEck AEX UCITS ETF,VanEck,72.34,63.16,77.27,0.051,0.003,0.1898,EUR,0.0345,-0.0544,0.092,12/14/2009,2TCA,0.0453,Netherlands,-0.0277,-0.1162,3/17/2023,Currency unhedged,Yes,No
IE000RN036E0,A3DGK2,First Trust Alerian Disruptive Technology Real Estate UCITS ETF Acc,First Trust,17.44,17.07,23.8,0.0029,0.006,,USD,0.0115,-0.0708,-0.1012,3/31/2022,FTGT,,Ireland,0.0034,,3/21/2023,Currency unhedged,Yes,No
IE00BKPTXQ89,A2P4PH,HANetf Alerian Midstream Energy Dividend UCITS ETF,HANetf,10.7,10.39,13.12,-0.0599,0.004,0.2473,USD,-0.0445,-0.0908,-0.1214,7/27/2020,JMLP,0.0258,Ireland,-0.0331,0.2626,3/21/2023,Currency unhedged,Yes,No
CH1146882316,A3GVVU,21Shares Algorand ETP,21Shares,2.14,1.64,9.68,0.3049,0.025,0.8803,USD,0.1889,-0.2438,-0.4185,11/22/2021,ALC0,-0.7128,Switzerland,0.0388,-0.9014,3/21/2023,Currency unhedged,No,No
GB00BNRRF105,A3GY74,CoinShares Physical Staked Algorand,CoinShares,2.04,1.54,4.38,0.3182,0,,USD,0.2012,-0.2537,-0.4064,7/14/2022,RAND,,Jersey,0.0201,,3/21/2023,Currency unhedged,No,No
DE000A3GWNE8,A3GWNE,VanEck Algorand ETN,VanEck,2.29,1.75,10.15,0.3029,0.015,,USD,0.1937,-0.2597,-0.4169,3/24/2022,VGND,,Liechtenstein,0.0364,,3/21/2023,Currency unhedged,No,No
NL0009272756,A1JPFU,VanEck AMX UCITS ETF,VanEck,92.64,83.27,108.58,0.0068,0.0035,0.1898,EUR,0.0124,-0.0937,0.0212,12/14/2009,2TCE,-0.0693,Netherlands,-0.058,-0.1158,3/17/2023,Currency unhedged,Yes,No
DE000A3GYNY2,A3GYNY,DDA Physical ApeCoin ETP,Deutsche Digital Assets,3.81,2.75,7.24,0.1424,0.0149,,USD,0.1631,-0.291,-0.3304,5/26/2022,IAPE,,Liechtenstein,-0.0723,,3/21/2023,Currency unhedged,No,No
DE000A0D8Q23,A0D8Q2,iShares ATX UCITS ETF (DE),iShares,34.38,28.27,37.96,0.006,0.0032,0.2187,EUR,0.0272,-0.0988,0.0946,8/4/2005,EXXX,-0.034,Germany,-0.0479,-0.1645,3/21/2023,Currency unhedged,Yes,No
LU0659579063,DBX0KJ,Xtrackers ATX UCITS ETF 1C,Xtrackers,58.14,47.73,64.14,0.0071,0.0025,0.2191,EUR,0.0285,-0.0985,0.096,11/11/2011,XB4A,-0.0331,Luxembourg,-0.0482,-0.1657,3/21/2023,Currency unhedged,Yes,Yes
CH1135202088,A3GVVT,21Shares Avalanche ETP,21Shares,3.1,1.97,18.05,0.5939,0.025,1.0215,USD,0.4404,-0.1737,-0.0571,11/18/2021,V21A,-0.7937,Switzerland,0.0502,-0.8938,3/21/2023,Currency unhedged,No,No
DE000A3GWNN9,A3GWNN,ETC Group Physical Avalanche,ETC Group,3.67,1.98,17.8,,0.0195,,USD,,,,3/22/2022,EVAL,,Germany,,,2/24/2023,Currency unhedged,No,No
